亜|ア|sub-
集|シュウ、あつ-まる、あつ-める、つど-う|collect
愁|シュウ、うれ-える、うれ-い|distress
酬|シュウ|repay
醜|シュウ、みにく-い|ugly
蹴|シュウ、け-る|kick
襲|シュウ、おそ-う|attack
十|ジュウ、ジッ、とお、と|ten
汁|ジュウ、しる|soup
充|ジュウ、あ-てる|allot
住|ジュウ、す-む、す-まう|dwelling
柔|ジュウ、ニュウ、やわ-らか、やわ-らかい|tender
重|ジュウ、チョウ、え、おも-い、かさ-ねる、かさ-なる|heavy
従|ジュウ、（ショウ）、（ジュ）、したが-う、したが-える|obey
渋|ジュウ、しぶ、しぶ-い、しぶ-る|astringent
銃|ジュウ|gun
獣|ジュウ、けもの|animal
縦|ジュウ、たて|vertical
叔|シュク|uncle
祝|シュク、（シュウ）、いわ-う|celebrate
宿|シュク、やど、やど-る、やど-す|inn
淑|シュク|graceful
粛|シュク|solemn
縮|シュク、ちぢ-む、ちぢ-まる、ちぢ-める、ちぢ-れる、ちぢ-らす|shrink
塾|ジュク|cram school
熟|ジュク、う-れる|ripen
出|シュツ、（スイ）、で-る、だ-す|exit
述|ジュツ、の-べる|mention
術|ジュツ|art
俊|シュン|genius
春|シュン、はる|springtime
瞬|シュン、またた-く|wink
旬|ジュン、（シュン）|10-day period (of the month)
巡|ジュン、めぐ-る|patrol
盾|ジュン、たて|shield
准|ジュン|quasi-
殉|ジュン|martyrdom
純|ジュン|genuine
循|ジュン|sequential
順|ジュン|obey
準|ジュン|standard
潤|ジュン、うるお-う、うるお-す、うる-む|wet
遵|ジュン|abide by
処|ショ|dispose
初|ショ、はじ-め、はじ-めて、はつ、うい、そ-める|first
所|ショ、ところ|place
書|ショ、か-く|write
庶|ショ|commoner
暑|ショ、あつ-い|hot
署|ショ|government office
緒|ショ、（チョ）、お|thong
諸|ショ|various
女|ジョ、ニョ、（ニョウ）、おんな、め|woman
如|ジョ、ニョ|likeness
助|ジョ、たす-ける、たす-かる、すけ|help
序|ジョ|preface
叙|ジョ|confer
徐|ジョ|gradually
除|ジョ、（ジ）、のぞ-く|exclude
小|ショウ、ちい-さい、こ、お|small
升|ショウ、ます|measuring box
少|ショウ、すく-ない、すこ-し|few
召|ショウ、め-す|summon
匠|ショウ|artisan
床|ショウ、とこ、ゆか|bed
抄|ショウ|extract
肖|ショウ|resemblance
尚|ショウ|esteem
招|ショウ、まね-く|beckon
承|ショウ、うけたまわ-る|acquiesce
昇|ショウ、のぼ-る|rise up
松|ショウ、まつ|pine
沼|ショウ、ぬま|marsh
昭|ショウ|shining
宵|ショウ、よい|wee hours
将|ショウ|leader
消|ショウ、き-える、け-す|extinguish
症|ショウ|symptoms
祥|ショウ|auspicious
称|ショウ|appellation
笑|ショウ、わら-う、え-む|laugh
唱|ショウ、とな-える|chant
商|ショウ、あきな-う|sell
渉|ショウ|ford
章|ショウ|chapter
紹|ショウ|introduce
訟|ショウ|sue
勝|ショウ、か-つ、まさ-る|win
掌|ショウ|manipulate
晶|ショウ|sparkle
焼|ショウ、や-く、や-ける|bake
焦|ショウ、こ-げる、こ-がす、こ-がれる、あせ-る|char
硝|ショウ|nitrate
粧|ショウ|cosmetics
詔|ショウ、みことのり|imperial edict
証|ショウ|evidence
象|ショウ、ゾウ|elephant
傷|ショウ、きず、いた-む、いた-める|wound
奨|ショウ|exhort
照|ショウ、て-る、て-らす、て-れる|illuminate
詳|ショウ、くわ-しい|detailed
彰|ショウ|patent
障|ショウ、さわ-る|hurt
憧|ショウ、あこが-れる|desire
衝|ショウ|collide
賞|ショウ|prize
償|ショウ、つぐな-う|reparation
礁|ショウ|reef
鐘|ショウ、かね|bell
上|ジョウ、（ショウ）、うえ、（うわ）、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す|up
丈|ジョウ、たけ|length
冗|ジョウ|superfluous
条|ジョウ|clause
状|ジョウ|form
乗|ジョウ、の-る、の-せる|ride
城|ジョウ、しろ|castle
浄|ジョウ|clean
剰|ジョウ|surplus
常|ジョウ、つね、とこ|normal
情|ジョウ、（セイ）、なさ-け|feelings
場|ジョウ、ば|place
畳|ジョウ、たた-む、たたみ|tatami mat
蒸|ジョウ、む-す、む-れる、む-らす|steam
縄|ジョウ、なわ|straw rope
壌|ジョウ|lot
嬢|ジョウ|lass
錠|ジョウ|lock
譲|ジョウ、ゆず-る|defer
醸|ジョウ、かも-す|brew
色|ショク、シキ、いろ|color
拭|ショク、ふ-く、ぬぐ-う|wipe
食|ショク、（ジキ）、く-う、く-らう、た-べる|eat, meal
植|ショク、う-える、う-わる|plant
殖|ショク、ふ-える、ふ-やす|augment
飾|ショク、かざ-る|decorate
触|ショク、ふ-れる、さわ-る|contact
嘱|ショク|entrust
織|ショク、シキ、お-る|weave
職|ショク|employment
辱|ジョク、はずかし-める|embarrass
尻|しり|buttocks
心|シン、こころ|heart
申|シン、もう-す|say
伸|シン、の-びる、の-ばす、の-べる|lengthen
臣|シン、ジン|retainer
芯|シン|core
身|シン、み|body
辛|シン、から-い|spicy
侵|シン、おか-す|encroach
信|シン|trust
津|シン、つ|haven
神|シン、ジン、かみ、（かん）、（こう）|god
唇|シン、くちびる|lips
娠|シン|with child
振|シン、ふ-る、ふ-るう、ふ-れる|shake
浸|シン、ひた-す、ひた-る|immersed
真|シン、ま|true
針|シン、はり|needle
深|シン、ふか-い、ふか-まる、ふか-める|deep
紳|シン|sire
進|シン、すす-む、すす-める|advance
森|シン、もり|forest
診|シン、み-る|checkup
寝|シン、ね-る、ね-かす|lie down
慎|シン、つつし-む|humility
新|シン、あたら-しい、あら-た、にい|new
審|シン|examine
震|シン、ふる-う、ふる-える|quake
薪|シン、たきぎ|fuel
親|シン、おや、した-しい、した-しむ|parent
人|ジン、ニン、ひと|person
刃|ジン、は|blade
仁|ジン、（ニ）|humanity
尽|ジン、つ-くす、つ-きる、つ-かす|exhaust
迅|ジン|swift
甚|ジン、はなは-だ、はなは-だしい|tremendously
陣|ジン|camp
尋|ジン、たず-ねる|inquire
腎|ジン|kidney
須|ス|by all means
図|ズ、ト、はか-る|diagram
水|スイ、みず|water
吹|スイ、ふ-く|blow
垂|スイ、た-れる、た-らす|droop
炊|スイ、た-く|cook
帥|スイ|commander
粋|スイ、いき|chic
衰|スイ、おとろ-える|decline
推|スイ、お-す|infer
酔|スイ、よ-う|drunk
遂|スイ、と-げる|consummate
睡|スイ|drowsy
穂|スイ、ほ|ear
随|ズイ|follow
髄|ズイ|marrow
枢|スウ|hinge
崇|スウ|adore
数|スウ、（ス）、かず、かぞ-える|number
据|す-える、す-わる|set
杉|すぎ|cedar
裾|すそ|cuff
寸|スン|measurement
瀬|せ|rapids
是|ゼ|just so
井|セイ、（ショウ）、い|well
世|セイ、セ、よ|world
正|セイ、ショウ、ただ-しい、ただ-す、まさ|correct
生|セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま|life
成|セイ、（ジョウ）、な-る、な-す|become
西|セイ、サイ、にし|west
声|セイ、（ショウ）、こえ、（こわ）|voice
制|セイ|control
姓|セイ、ショウ|surname
征|セイ|subjugate
性|セイ、ショウ|gender
青|セイ、（ショウ）、あお、あお-い|blue
斉|セイ|adjusted
政|セイ、（ショウ）、まつりごと|politics
星|セイ、（ショウ）、ほし|star
牲|セイ|animal sacrifice
省|セイ、ショウ、かえり-みる、はぶ-く|government ministry
凄|セイ|uncanny
逝|セイ、ゆ-く、い-く|departed
清|セイ、（ショウ）、きよ-い、きよ-まる、きよ-める|pure
盛|セイ、（ジョウ）、も-る、さか-る、さか-ん|prosper
婿|セイ、むこ|bridegroom
晴|セイ、は-れる、は-らす|clear up
勢|セイ、いきお-い|power
聖|セイ|holy
誠|セイ、まこと|sincerity
精|セイ、（ショウ）|refined
製|セイ|manufacture
誓|セイ、ちか-う|vow
静|セイ、（ジョウ）、しず、しず-か、しず-まる、しず-める|quiet
請|セイ、（シン）、こ-う、う-ける|solicit
整|セイ、ととの-える、ととの-う|put in order
醒|セイ|be disillusioned
税|ゼイ|tax
夕|セキ、ゆう|evening
斥|セキ|reject
石|セキ、（シャク）、（コク）、いし|stone
赤|セキ、（シャク）、あか、あか-い、あか-らむ、あか-らめる|red
昔|セキ、（シャク）、むかし|long ago
析|セキ|chop
席|セキ|seat
脊|セキ|stature
隻|セキ|vessels
惜|セキ、お-しい、お-しむ|pity
戚|セキ|grieve
責|セキ、せ-める|blame
跡|セキ、あと|tracks
積|セキ、つ-む、つ-もる|accumulate
績|セキ|exploits
籍|セキ|enroll
切|セツ、（サイ）、き-る、き-れる|cut
折|セツ、お-る、おり、お-れる|fold
拙|セツ、つたな-い|bungling
窃|セツ|stealth
接|セツ、つ-ぐ|contact
設|セツ、もう-ける|establish
雪|セツ、ゆき|snow
摂|セツ|vicarious
節|セツ、（セチ）、ふし|node
説|セツ、（ゼイ）、と-く|theory
舌|ゼツ、した|tongue
絶|ゼツ、た-える、た-やす、た-つ|discontinue
千|セン、ち|thousand
川|セン、かわ|river
仙|セン|hermit
占|セン、し-める、うらな-う|fortune telling
先|セン、さき|previous
宣|セン|proclaim
専|セン、もっぱ-ら|specialty
泉|セン、いずみ|spring
浅|セン、あさ-い|shallow
洗|セン、あら-う|wash
染|セン、そ-める、そ-まる、し-みる、し-み|dye
扇|セン、おうぎ|fan
栓|セン|plug
旋|セン|rotation
船|セン、ふね、（ふな）|boat
戦|セン、いくさ、たたか-う|war
煎|セン、い-る|broil
羨|セン、うらや-む、うらや-ましい|envy
腺|セン|gland
詮|セン|discussion
践|セン|tread
箋|セン|paper
銭|セン、ぜに|coin
潜|セン、ひそ-む、もぐ-る|submerge
線|セン|line
遷|セン|transition
選|セン、えら-ぶ|choose
薦|セン、すす-める|recommend
繊|セン|slender
鮮|セン、あざ-やか|fresh
全|ゼン、まった-く、すべ-て|whole
前|ゼン、まえ|in front
善|ゼン、よ-い|good
然|ゼン、ネン|so
禅|ゼン|Zen
漸|ゼン|steadily
膳|ゼン|tray
繕|ゼン、つくろ-う|darning
狙|ソ、ねら-う|aim at
阻|ソ、はば-む|thwart
祖|ソ|ancestor
租|ソ|tariff
素|ソ、ス|elementary
措|ソ|set aside
粗|ソ、あら-い|coarse
組|ソ、く-む、くみ|association
疎|ソ、うと-い、うと-む|alienate
訴|ソ、うった-える|sue
塑|ソ|model
遡|ソ、さかのぼ-る|go upstream
礎|ソ、いしずえ|cornerstone
双|ソウ、ふた|pair
壮|ソウ|robust
早|ソウ、（サッ）、はや-い、はや-まる、はや-める|early
争|ソウ、あらそ-う|conflict
走|ソウ、はし-る|run
奏|ソウ、かな-でる|play music
相|ソウ、ショウ、あい|mutual
荘|ソウ|villa
草|ソウ、くさ|grass
送|ソウ、おく-る|send
倉|ソウ、くら|warehouse
捜|ソウ、さが-す|search
挿|ソウ、さ-す|insert
桑|ソウ、くわ|mulberry
巣|ソウ、す|nest
掃|ソウ、は-く|sweep
曹|ソウ|cadet
曽|ソウ、（ゾ）|formerly
爽|ソウ、さわ-やか|refreshing
窓|ソウ、まど|window
創|ソウ、つく-る|create
喪|ソウ、も|miss
痩|ソウ、や-せる|get thin
葬|ソウ、ほうむ-る|interment
装|ソウ、ショウ、よそお-う|attire
僧|ソウ|Buddhist priest
想|ソウ、（ソ）|concept
層|ソウ|stratum
総|ソウ|whole
遭|ソウ、あ-う|encounter
槽|ソウ|vat
踪|ソウ|remains
操|ソウ、みさお、あやつ-る|maneuver
燥|ソウ|parch
霜|ソウ、しも|frost
騒|ソウ、さわ-ぐ|boisterous
藻|ソウ、も|seaweed
造|ゾウ、つく-る|create
像|ゾウ|statue
増|ゾウ、ま-す、ふ-える、ふ-やす|increase
憎|ゾウ、にく-む、にく-い、にく-らしい、にく-しみ|hate
蔵|ゾウ、くら|warehouse
贈|ゾウ、（ソウ）、おく-る|presents
臓|ゾウ|entrails
即|ソク|instant
束|ソク、たば|bundle
足|ソク、あし、た-りる、た-る、た-す|foot
促|ソク、うなが-す|stimulate
則|ソク|rule
息|ソク、いき|breath
捉|ソク、とら-える|capture
速|ソク、はや-い、はや-める、はや-まる、すみ-やか|fast
側|ソク、がわ|side
測|ソク、はか-る|fathom
俗|ゾク|vulgar
族|ゾク|tribe
属|ゾク|belong
賊|ゾク|burglar
続|ゾク、つづ-く、つづ-ける|continue
卒|ソツ|graduate
率|ソツ、リツ、ひき-いる|rate
存|ソン、ゾン|suppose
村|ソン、むら|village
孫|ソン、まご|grandchild
尊|ソン、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ|revered
損|ソン、そこ-なう、そこ-ねる|loss
遜|ソン|humble
他|タ、ほか|other
多|タ、おお-い|many
汰|タ|luxury
打|ダ、う-つ|hit
妥|ダ|gentle
唾|ダ、つば|saliva
堕|ダ|degenerate
惰|ダ|lazy
駄|ダ|burdensome
太|タイ、タ、ふと-い、ふと-る|thick
対|タイ、ツイ|opposite
体|タイ、テイ、からだ|body
耐|タイ、た-える|resistant
待|タイ、ま-つ|wait
怠|タイ、おこた-る、なま-ける|neglect
胎|タイ|womb
退|タイ、しりぞ-く、しりぞ-ける|retreat
帯|タイ、お-びる、おび|sash
泰|タイ|peaceful
堆|タイ|piled high
袋|タイ、ふくろ|sack
逮|タイ|apprehend
替|タイ、か-える、か-わる|exchange
貸|タイ、か-す|lend
隊|タイ|group
滞|タイ、とどこお-る|stagnate
態|タイ|condition
戴|タイ|be crowned with
大|ダイ、タイ、おお、おお-きい、おお-いに|large
代|ダイ、タイ、か-わる、か-える、よ、しろ|substitute
台|ダイ、タイ|pedestal
第|ダイ|ordinal number prefix
題|ダイ|topic
滝|たき|waterfall
宅|タク|home
択|タク|choose
沢|タク、さわ|swamp
卓|タク|eminent
拓|タク|clear (the land)
託|タク|consign
濯|タク|laundry
諾|ダク|consent
濁|ダク、にご-る、にご-す|voiced
但|ただ-し|however
達|タツ|attain
脱|ダツ、ぬ-ぐ、ぬ-げる|undress
奪|ダツ、うば-う|rob
棚|たな|shelf
誰|だれ|who (question word)
丹|タン|cinnabar
旦|タン、ダン|daybreak
担|タン、かつ-ぐ、にな-う|shouldering
単|タン|simple
炭|タン、すみ|charcoal
胆|タン|gall bladder
探|タン、さぐ-る、さが-す|grope
淡|タン、あわ-い|thin
短|タン、みじか-い|short
嘆|タン、なげ-く、なげ-かわしい|sigh
端|タン、はし、は、はた|edge
綻|タン、ほころ-びる|rip
誕|タン|nativity
鍛|タン、きた-える|forge
団|ダン、（トン）|group
男|ダン、ナン、おとこ|male
段|ダン|steps
断|ダン、た-つ、ことわ-る|cut off
弾|ダン、ひ-く、はず-む、たま|bullet
暖|ダン、あたた-か、あたた-かい、あたた-まる、あたた-める|warmth
談|ダン|discuss
壇|ダン、（タン）|podium
地|チ、ジ|ground
池|チ、いけ|pond
知|チ、し-る|know
値|チ、ね、あたい|value
恥|チ、は-じる、はじ、は-じらう、は-ずかしい|shame
致|チ、いた-す|(to) do
遅|チ、おく-れる、おく-らす、おそ-い|slow
痴|チ|stupid
稚|チ|immature
置|チ、お-く|put
緻|チ|fine (not coarse)
竹|チク、たけ|bamboo
畜|チク|livestock
逐|チク|pursue
蓄|チク、たくわ-える|amass
築|チク、きず-く|fabricate
秩|チツ|regularity
窒|チツ|plug up
茶|チャ、サ|tea
着|チャク、（ジャク）、き-る、き-せる、つ-く、つ-ける|wear
嫡|チャク|legitimate wife
中|チュウ、（ジュウ）、なか|middle
仲|チュウ、なか|relationship
虫|チュウ、むし|insect
沖|チュウ、おき|open sea
宙|チュウ|mid-air
忠|チュウ|loyalty
抽|チュウ|pluck
注|チュウ、そそ-ぐ|pour
昼|チュウ、ひる|daytime
柱|チュウ、はしら|pillar
衷|チュウ|inmost
酎|チュウ|sake
鋳|チュウ、い-る|casting
駐|チュウ|stop-over
著|チョ、あらわ-す、いちじる-しい|renowned
貯|チョ|savings
丁|チョウ、テイ|ward
弔|チョウ、とむら-う|condolences
庁|チョウ|government office
兆|チョウ、きざ-す、きざ-し|portent, trillion
町|チョウ、まち|town
長|チョウ、なが-い|long
挑|チョウ、いど-む|challenge
帳|チョウ|account book
張|チョウ、は-る|stretch
彫|チョウ、ほ-る|carve
眺|チョウ、なが-める|stare
釣|チョウ、つ-る|angling
頂|チョウ、いただ-く、いただき|place on the head
鳥|チョウ、とり|bird
朝|チョウ、あさ|morning
貼|チョウ、は-る|paste
超|チョウ、こ-える、こ-す|transcend
腸|チョウ|intestines
跳|チョウ、は-ねる、と-ぶ|hop
徴|チョウ|indications
嘲|チョウ、あざけ-る|ridicule
潮|チョウ、しお|tide
澄|チョウ、す-む、す-ます|lucidity
調|チョウ、しら-べる、ととの-う、ととの-える|investigate
聴|チョウ、き-く|listen
懲|チョウ、こ-りる、こ-らす、こ-らしめる|penal
直|チョク、ジキ、ただ-ちに、なお-す、なお-る|straight
勅|チョク|imperial order
捗|チョク|make progress
沈|チン、しず-む、しず-める|sink
珍|チン、めずら-しい|rare
朕|チン|majestic plural
陳|チン|exhibit
賃|チン|fare
鎮|チン、しず-める、しず-まる|tranquilize
追|ツイ、お-う|follow
椎|ツイ|oak
墜|ツイ|crash
通|ツウ、（ツ）、とお-る、とお-す、かよ-う|pass through
痛|ツウ、いた-い、いた-む、いた-める|pain
塚|つか|hillock
漬|つ-ける、つ-かる|pickling
坪|つぼ|two-mat area
爪|つめ、（つま）|claw
鶴|つる|crane
低|テイ、ひく-い、ひく-める、ひく-まる|low
呈|テイ|display
廷|テイ|courts
弟|テイ、（ダイ）、（デ）、おとうと|younger brother
定|テイ、ジョウ、さだ-める、さだ-まる、さだ-か|decide
底|テイ、そこ|bottom
抵|テイ|resist
邸|テイ|residence
亭|テイ|pavilion
貞|テイ|upright
帝|テイ|sovereign
訂|テイ|revise
庭|テイ、にわ|garden
逓|テイ|relay
停|テイ|halt
偵|テイ|spy
堤|テイ、つつみ|dike
提|テイ、さ-げる|present
程|テイ、ほど|extent
艇|テイ|rowboat
締|テイ、し-まる、し-める|tighten
諦|テイ、あきら-める|abandon
泥|デイ、どろ|mud
的|テキ、まと|target
笛|テキ、ふえ|flute
摘|テキ、つ-む|pinch
滴|テキ、しずく、したた-る|drip
適|テキ|suitable
敵|テキ、かたき|enemy
溺|デキ、おぼ-れる|drown
迭|テツ|transfer
哲|テツ|philosophy
鉄|テツ|iron
徹|テツ|penetrate
撤|テツ|remove
天|テン、あめ、（あま）|heaven
典|テン|code
店|テン、みせ|shop
点|テン|point
展|テン|expand
添|テン、そ-える、そ-う|annexed
転|テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ|revolve
塡|テン|fill in
田|デン、た|rice paddy
伝|デン、つた-わる、つた-える、つた-う|transmit
殿|デン、テン、との、どの|Mr.
電|デン|electricity
斗|ト|Big Dipper
吐|ト、は-く|spit
妬|ト、ねた-む|jealousy
徒|ト|junior
途|ト|route
都|ト、ツ、みやこ|metropolis
渡|ト、わた-る、わた-す|transit
塗|ト、ぬ-る|paint
賭|ト、か-ける|gamble
土|ド、ト、つち|soil
奴|ド|guy
努|ド、つと-める|toil
度|ド、（ト）、（タク）、たび|degrees
怒|ド、いか-る、おこ-る|angry
刀|トウ、かたな|sword
冬|トウ、ふゆ|winter
灯|トウ、ひ|lamp
当|トウ、あ-たる、あ-てる|hit
投|トウ、な-げる|throw
豆|トウ、（ズ）、まめ|beans
東|トウ、ひがし|east
到|トウ|arrival
逃|トウ、に-げる、に-がす、のが-す、のが-れる|escape
倒|トウ、たお-れる、たお-す|overthrow
凍|トウ、こお-る、こご-える|frozen
唐|トウ、から|T'ang
島|トウ、しま|island
桃|トウ、もも|peach tree
討|トウ、う-つ|chastise
透|トウ、す-く、す-かす、す-ける|transparent
党|トウ|group
悼|トウ、いた-む|lament
盗|トウ、ぬす-む|steal
陶|トウ|pottery
塔|トウ|pagoda
搭|トウ|board
棟|トウ、むね、（むな）|ridgepole
湯|トウ、ゆ|hot water
痘|トウ|pox
登|トウ、ト、のぼ-る|climb
答|トウ、こた-える、こた-え|answer
等|トウ、ひと-しい|class
筒|トウ、つつ|cylinder
統|トウ、す-べる|unite
稲|トウ、いね、（いな）|rice plant
踏|トウ、ふ-む、ふ-まえる|step
糖|トウ|sugar
頭|トウ、ズ、（ト）、あたま、かしら|head
謄|トウ|mimeograph
藤|トウ、ふじ|wisteria
闘|トウ、たたか-う|fight
騰|トウ|inflation
同|ドウ、おな-じ|same
洞|ドウ、ほら|den
胴|ドウ|trunk
動|ドウ、うご-く、うご-かす|move
堂|ドウ|public chamber
童|ドウ、わらべ|juvenile
道|ドウ、（トウ）、みち|road
働|ドウ、はたら-く|work
銅|ドウ|copper
導|ドウ、みちび-く|guide
瞳|ドウ、ひとみ|pupil
峠|とうげ|mountain peak
匿|トク|hide
特|トク|special
得|トク、え-る、う-る|acquire
督|トク|coach
徳|トク|benevolence
篤|トク|fervent
毒|ドク|poison
独|ドク、ひと-り|alone
読|ドク、トク、（トウ）、よ-む|read
栃|（とち）[6]|horse chestnut
凸|トツ|convex
突|トツ、つ-く|stab
届|とど-ける、とど-く|deliver
屯|トン|barracks
豚|トン、ぶた|pork
頓|トン|suddenly
貪|ドン、むさぼ-る|covet
鈍|ドン、にぶ-い、にぶ-る|dull
曇|ドン、くも-る|cloudy weather
丼|どんぶり、（どん）|bowl of food
那|ナ|what
奈|ナ|what
内|ナイ、（ダイ）、うち|inside
梨|なし|pear tree
謎|なぞ|riddle
鍋|なべ|pot
南|ナン、（ナ）、みなみ|south
軟|ナン、やわ-らか、やわ-らかい|soft
難|ナン、かた-い、むずか-しい|difficult
二|ニ、ふた、ふた-つ|two
尼|ニ、あま|nun
弐|ニ|two (falsification prevention)
匂|にお-う|scent
肉|ニク|meat
虹|にじ|rainbow
日|ニチ、ジツ、ひ、か|day
入|ニュウ、い-る、い-れる、はい-る|enter
乳|ニュウ、ちち、ち|milk
尿|ニョウ|urine
任|ニン、まか-せる、まか-す|responsibility
妊|ニン|pregnancy
忍|ニン、しの-ぶ、しの-ばせる|endure
認|ニン、みと-める|recognize
寧|ネイ|rather
熱|ネツ、あつ-い|heat
年|ネン、とし|year
念|ネン|thought
捻|ネン、ひね-る|twist
粘|ネン、ねば-る|sticky
燃|ネン、も-える、も-やす、も-す|burn
悩|ノウ、なや-む、なや-ます|trouble
納|ノウ、（ナッ）、（ナ）、（ナン）、（トウ）、おさ-める、おさ-まる|settlement
能|ノウ|ability
脳|ノウ|brain
農|ノウ|farming
濃|ノウ、こ-い|concentrated
把|ハ|grasp
波|ハ、なみ|wave
派|ハ|sect
破|ハ、やぶ-る、やぶ-れる|rend
覇|ハ|hegemony
馬|バ、うま、（ま）|horse
婆|バ|old woman
罵|バ、ののし-る|insult
拝|ハイ、おが-む|worship
杯|ハイ、さかずき|counter for cupfuls
背|ハイ、せ、せい、そむ-く、そむ-ける|back
肺|ハイ|lungs
俳|ハイ|haiku
配|ハイ、くば-る|distribute
排|ハイ|repudiate
敗|ハイ、やぶ-れる|failure
廃|ハイ、すた-れる、すた-る|abolish
輩|ハイ|comrade
売|バイ、う-る、う-れる|sell
倍|バイ|double
梅|バイ、うめ|ume (Japanese apricot)
培|バイ、つちか-う|cultivate
陪|バイ|obeisance
媒|バイ|mediator
買|バイ、か-う|buy
賠|バイ|compensation
白|ハク、ビャク、しろ、（しら）、しろ-い|white
伯|ハク|chief
拍|ハク、（ヒョウ）|clap
泊|ハク、と-まる、と-める|overnight
迫|ハク、せま-る|urge
剝|ハク、は-がす、は-ぐ、は-がれる、は-げる|peel
舶|ハク|liner
博|ハク、（バク）|Dr.
薄|ハク、うす-い、うす-める、うす-まる、うす-らぐ、うす-れる|dilute
麦|バク、むぎ|wheat
漠|バク|vague
縛|バク、しば-る|truss
爆|バク|explode
箱|はこ|box
箸|はし|chopsticks
畑|はた、はたけ|farm
肌|はだ|texture
八|ハチ、や、や-つ、やっ-つ、（よう）|eight
鉢|ハチ、（ハツ）|bowl
発|ハツ、ホツ|departure
髪|ハツ、かみ|hair of the head
伐|バツ|fell
抜|バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる|slip out
罰|バツ、バチ|penalty
閥|バツ|clique
反|ハン、（ホン）、（タン）、そ-る、そ-らす|anti-
半|ハン、なか-ば|half
氾|ハン|spread out
犯|ハン、おか-す|crime
帆|ハン、ほ|sail
汎|ハン|pan-
伴|ハン、バン、ともな-う|consort
判|ハン、バン|judge
坂|ハン、さか|slope
阪|ハン|heights
板|ハン、バン、いた|board
版|ハン|printing block
班|ハン|squad
畔|ハン|paddy-ridge
般|ハン|generally
販|ハン|marketing
斑|ハン|blemish
飯|ハン、めし|meal
搬|ハン|conveyor
煩|ハン、（ボン）、わずら-う、わずら-わす|anxiety
頒|ハン|partition
範|ハン|pattern
繁|ハン|luxuriant
藩|ハン|clan
晩|バン|nightfall
番|バン|one's turn
蛮|バン|barbarian
盤|バン|tray
比|ヒ、くら-べる|compare
皮|ヒ、かわ|skin
妃|ヒ|queen
否|ヒ、いな|negate
批|ヒ|criticism
彼|ヒ、かれ、（かの）|he
披|ヒ|expose
肥|ヒ、こ-える、こえ、こ-やす、こ-やし|fertilizer
非|ヒ|negative
卑|ヒ、いや-しい、いや-しむ、いや-しめる|lowly
飛|ヒ、と-ぶ、と-ばす|fly
疲|ヒ、つか-れる|exhausted
秘|ヒ、ひ-める|secret
被|ヒ、こうむ-る|incur
悲|ヒ、かな-しい、かな-しむ|sad
扉|ヒ、とびら|front door
費|ヒ、つい-やす、つい-える|expense
碑|ヒ|tombstone
罷|ヒ|quit
避|ヒ、さ-ける|evade
尾|ビ、お|tail
眉|ビ、（ミ）、まゆ|eyebrow
美|ビ、うつく-しい|beauty
備|ビ、そな-える、そな-わる|provide
微|ビ|delicate
鼻|ビ、はな|nose
膝|ひざ|knee
肘|ひじ|elbow
匹|ヒツ、ひき|equal
必|ヒツ、かなら-ず|without fail
泌|ヒツ、ヒ|ooze
筆|ヒツ、ふで|writing brush
姫|ひめ|princess
百|ヒャク|hundred
氷|ヒョウ、こおり、ひ|ice
表|ヒョウ、おもて、あらわ-す、あらわ-れる|express
俵|ヒョウ、たわら|bag
票|ヒョウ|ballot
評|ヒョウ|evaluate
漂|ヒョウ、ただよ-う|drift
標|ヒョウ|signpost
苗|ビョウ、なえ、（なわ）|seedling
秒|ビョウ|second (part of time)
病|ビョウ、（ヘイ）、や-む、やまい|sick
描|ビョウ、えが-く、か-く|sketch
猫|ビョウ、ねこ|cat
品|ヒン、しな|article
浜|ヒン、はま|seacoast
貧|ヒン、ビン、まず-しい|poor
賓|ヒン|V.I.P.
頻|ヒン|repeatedly
敏|ビン|cleverness
瓶|ビン|flower pot
不|フ、ブ|non-
夫|フ、（フウ）、おっと|husband
父|フ、ちち|father
付|フ、つ-ける、つ-く|attach
布|フ、ぬの|linen
扶|フ|aid
府|フ|urban prefecture
怖|フ、こわ-い|dreadful
阜|（フ）[6]|mound
附|フ|affixed
訃|フ|obituary
負|フ、ま-ける、ま-かす、お-う|lose
赴|フ、おもむ-く|proceed
浮|フ、う-く、う-かれる、う-かぶ、う-かべる|floating
婦|フ|lady
符|フ|token
富|フ、（フウ）、と-む、とみ|rich
普|フ|universal
腐|フ、くさ-る、くさ-れる、くさ-らす|rot
敷|フ、し-く|spread
膚|フ|skin
賦|フ|levy
譜|フ|musical score
侮|ブ、あなど-る|scorn
武|ブ、ム|military
部|ブ|part
舞|ブ、ま-う、まい|dance
封|フウ、ホウ|seal
風|フウ、（フ）、かぜ、（かざ）|wind
伏|フク、ふ-せる、ふ-す|prostrated
服|フク|clothes
副|フク|vice
幅|フク、はば|breadth
復|フク|again
福|フク|luck
腹|フク、はら|abdomen
複|フク|duplicate
覆|フク、おお-う、くつがえ-す、くつがえ-る|capsize
払|フツ、はら-う|pay
