亜|ア|sub-
格|カク、（コウ）|status
核|カク|nucleus
殻|カク、から|husk
郭|カク|enclosure
覚|カク、おぼ-える、さ-ます、さ-める|memorize
較|カク|contrast
隔|カク、へだ-てる、へだ-たる|isolate
閣|カク|tall
確|カク、たし-か、たし-かめる|certain
獲|カク、え-る|seize
嚇|カク|menacing
穫|カク|harvest
学|ガク、まな-ぶ|study
岳|ガク、たけ|point
楽|ガク、ラク、たの-しい、たの-しむ|pleasure
額|ガク、ひたい|amount
顎|ガク、あご|jaw
掛|か-ける、か-かる、かかり|hang
潟|かた|lagoon
括|カツ|fasten
活|カツ|active
喝|カツ|hoarse
渇|カツ、かわ-く|thirst
割|カツ、わ-る、わり、わ-れる、さ-く|divide
葛|カツ、くず|arrowroot
滑|カツ、コツ、すべ-る、なめ-らか|slippery
褐|カツ|brown
轄|カツ|control
且|か-つ|moreover
株|かぶ|stocks
釜|かま|kettle
鎌|かま|sickle
刈|か-る|reap
干|カン、ほ-す、ひ-る|dry
刊|カン|publish
甘|カン、あま-い、あま-える、あま-やかす|sweet
汗|カン、あせ|sweat
缶|カン|tin can
完|カン|perfect
肝|カン、きも|liver
官|カン|government official
冠|カン、かんむり|crown
巻|カン、ま-く、まき|scroll
看|カン|watch over
陥|カン、おちい-る、おとしい-れる|collapse
乾|カン、かわ-く、かわ-かす|dry
勘|カン|intuition
患|カン、わずら-う|afflicted
貫|カン、つらぬ-く|pierce
寒|カン、さむ-い|cold
喚|カン|yell
堪|カン、た-える|withstand
換|カン、か-える、か-わる|interchange
敢|カン|daring
棺|カン|coffin
款|カン|goodwill
間|カン、ケン、あいだ、ま|interval
閑|カン|leisure
勧|カン、すす-める|persuade
寛|カン|tolerant
幹|カン、みき|tree-trunk
感|カン|feeling
漢|カン|China
慣|カン、な-れる、な-らす|accustomed
管|カン、くだ|pipe
関|カン、せき、かか-わる|related
歓|カン|delight
監|カン|oversee
緩|カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める|slacken
憾|カン|remorse
還|カン|send back
館|カン、やかた|public building
環|カン|ring
簡|カン|simplicity
観|カン|observe
韓|カン|Korea
艦|カン|warship
鑑|カン、かんが-みる|specimen
丸|ガン、まる、まる-い、まる-める|circle
含|ガン、ふく-む、ふく-める|include
岸|ガン、きし|beach
岩|ガン、いわ|boulder
玩|ガン|trifle with
眼|ガン、（ゲン）、まなこ|eyeball
頑|ガン|stubborn
顔|ガン、かお|face
願|ガン、ねが-う|request
企|キ、くわだ-てる|plan
伎|キ|deed
危|キ、あぶ-ない、あや-うい、あや-ぶむ|dangerous
机|キ、つくえ|desk
気|キ、ケ|feeling
岐|キ|branch off
希|キ|hope
忌|キ、い-む、い-まわしい|mourning
汽|キ|steam
奇|キ|strange
祈|キ、いの-る|pray
季|キ|seasons
紀|キ|chronicle
軌|キ|rut
既|キ、すで-に|previously
記|キ、しる-す|write down
起|キ、お-きる、お-こる、お-こす|wake up
飢|キ、う-える|hungry
鬼|キ、おに|ghost
帰|キ、かえ-る、かえ-す|return
基|キ、もと、もとい|foundation
寄|キ、よ-る、よ-せる|approach
規|キ|rule
亀|キ、かめ|turtle
喜|キ、よろこ-ぶ|rejoice
幾|キ、いく|how many
揮|キ|brandish
期|キ、（ゴ）|period of time
棋|キ|chess piece
貴|キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ|precious
棄|キ|abandon
毀|キ|destroy
旗|キ、はた|national flag
器|キ、うつわ|container
畿|キ|capital
輝|キ、かがや-く|radiance
